Employee ID,Doctor Name,Specialization,Hospital Name,Locality,Area / City & State,Phone Number,Email Address,Native Language,Languages Known
EMP1000,Dr. Pooja Gupta,Cardiology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-9267096700,pooja.gupta0@hospitalmail.in,Malayalam,"Kannada, Hindi, Telugu, English"
EMP1001,Dr. Vikram Chatterjee,Ophthalmology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-8261689280,vikram.chatterjee1@hospitalmail.in,Tamil,"Bengali, Hindi"
EMP1002,Dr. Kavita Reddy,Psychiatry,Aster Medcity,Cheranalloor,"Kochi, Kerala",-8326018282,kavita.reddy2@hospitalmail.in,Marathi,"Bengali, Kannada, Telugu, Marathi"
EMP1003,Dr. Divya Sharma,General Medicine,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-7902416321,divya.sharma3@hospitalmail.in,Malayalam,"Tamil, Hindi"
EMP1004,Dr. Ritu Das,ENT,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-9584321373,ritu.das4@hospitalmail.in,Marathi,"English, Hindi, Kannada"
EMP1005,Dr. Kiran Rao,Dermatology,CMC Vellore,Katpadi Road,"Vellore, Tamil Nadu",-7744503230,kiran.rao5@hospitalmail.in,Marathi,"Telugu, Marathi, English, Bengali"
EMP1006,Dr. Kavita Naik,Gynecology,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-8701174334,kavita.naik6@hospitalmail.in,Bengali,"Tamil, Malayalam"
EMP1007,Dr. Suresh Reddy,Ophthalmology,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-9901995721,suresh.reddy7@hospitalmail.in,Malayalam,"Marathi, English"
EMP1008,Dr. Arjun Das,Orthopedics,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-9938338255,arjun.das8@hospitalmail.in,Kannada,"Kannada, Tamil, Bengali, Marathi"
EMP1009,Dr. Sneha Patel,Pediatrics,Tata Memorial Hospital,Parel,"Mumbai, Maharashtra",-8294934730,sneha.patel9@hospitalmail.in,Bengali,"Kannada, Malayalam, Bengali, Marathi"
EMP1010,Dr. Divya Chatterjee,Dermatology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-7699309895,divya.chatterjee10@hospitalmail.in,Kannada,"Hindi, Kannada"
EMP1011,Dr. Rahul Sharma,Gynecology,Apollo Hospitals,Jubilee Hills,"Hyderabad, Telangana",-7673657556,rahul.sharma11@hospitalmail.in,Hindi,"Kannada, Telugu, English"
EMP1012,Dr. Neha Chatterjee,Psychiatry,AMRI Hospital,Salt Lake,"Kolkata, West Bengal",-9966507576,neha.chatterjee12@hospitalmail.in,Telugu,"Tamil, Bengali, Malayalam, Telugu"
EMP1013,Dr. Sanjay Iyer,Dermatology,KIMS-Ushalakshmi Centre,Begumpet,"Hyderabad, Telangana",-8588566031,sanjay.iyer13@hospitalmail.in,English,"Malayalam, Kannada, Hindi, Bengali"
